time(h),Mean_20mM(µM),StDev_20mM(µM),StdErr_20mM(µM),Mean_10mM(µM),StDev_10mM(µM),StdErr_10mM(µM),Mean_5mM(µM),StDev_5mM(µM),StdErr_5mM(µM),Mean_1mM(µM),StDev_1mM(µM),StdErr_1mM(µM),Mean_0.5mM(µM),StDev_0.5mM(µM),StdErr_0.5mM(µM),Mean_0.1mM(µM),StDev_0.1mM(µM),StdErr_0.1mM(µM),Mean_0.01mM(µM),StDev_0.01mM(µM),StdErr_0.01mM(µM),Mean_0.001mM(µM),StDev_0.001mM(µM),StdErr_0.001mM(µM),Mean_0.0001mM(µM),StDev_0.0001mM(µM),StdErr_0.0001mM(µM),Mean_0mM(µM),StDev_0mM(µM),StdErr_0mM(µM),Mean_no_GntR(µM),StDev_no_GntR(µM),StdErr_no_GntR(µM)
0.0,0.0053154778552513176,0.0007063072982209911,0.0004077867087584865,0.007282922791449167,0.0006581147143713815,0.00032905735718569075,0.0063651331996968305,0.0012588127494823538,0.0005629581757571913,0.007362477073925814,0.001679006627461324,0.000839503313730662,0.0051678988964540575,0.0008601621116186702,0.0004966148266897562,0.006910351803949833,0.0012404609256318844,0.0006202304628159422,0.00840014162796905,0.0014220241700675968,0.0008210060373826813,0.0041440698697980645,0.0008673730028474657,0.0005007780366817983,0.00451762910925363,0.0014167984595214323,0.0008179889719921461,0.007339747278932487,0.002107807906331138,0.001053903953165569,0.0065165333993915196,0.0009319119881273419,0.00046595599406367094
0.08333333333333333,0.004769303940773958,0.0005379141730679817,0.0003105648926217142,0.007540115363058454,0.0004931145376718798,0.0002465572688359399,0.006909660027580472,0.0009733991810435977,0.00043531734761122177,0.008174573118959177,0.001540492055334177,0.0007702460276670885,0.005186016848984972,0.0007099325363307186,0.00040987974095701415,0.006004865949052581,0.0008141518376827138,0.0004070759188413569,0.007831567335817106,0.0013816972279352363,0.0007977232664869684,0.0043265670643821775,0.0005376526617732496,0.0003104139090053045,0.004067645051849484,0.0002013804346494884,0.00011626704815440598,0.008115030938596219,0.0029528419969477157,0.0014764209984738578,0.005945323768689625,0.0007661105259867715,0.00038305526299338573
0.16666666666666666,0.005251241478096261,0.0005191609627658517,0.0002997377216056098,0.007196697808267955,0.0009317577013119848,0.0004658788506559924,0.007166407885809456,0.001243456728587332,0.000556090754440156,0.008282539645177483,0.0008993052981943993,0.00044965264909719964,0.005306913004963977,0.0009726131548910665,0.0005615384667937284,0.0064938036043981915,0.0008652930817651532,0.0004326465408825766,0.00820249123672272,0.0010405664277831062,0.0006007713071902636,0.0037392159850618313,0.0003094038904530245,0.00017863441944137117,0.0038581356371283734,0.0017840838418059842,0.0010300412863235467,0.007972475593909803,0.0011614171926949842,0.0005807085963474921,0.005520622490499072,0.0013613266353326632,0.0006806633176663316
0.25,0.006360389590306918,0.0002054114438350521,0.00011859435239279703,0.008235844740245538,0.0005380584190097701,0.00026902920950488507,0.007940406817930087,0.0008530971318076027,0.00038151663562637953,0.008481672414358161,0.0005926527014304772,0.0002963263507152386,0.006892398560078293,0.0007472415645294642,0.0004314201184307633,0.007719236030125442,0.0014972435697618977,0.0007486217848809488,0.008329975739076604,0.0014016454524743201,0.0008092403792944636,0.004969260253251495,0.0005821637293299828,0.000336112385841102,0.005508845821353977,0.001235737976460665,0.0007134536533574084,0.009886966696119572,0.0013163660732735695,0.0006581830366367848,0.008736888482054986,0.0017549635929215936,0.0008774817964607968
0.3333333333333333,0.007758107273737221,0.0007036092517916456,0.0004062289909262178,0.01218638193528157,0.0032505537690416097,0.0016252768845208048,0.012794305126157474,0.0019717656920903307,0.0008818004246431797,0.01329693007109689,0.0026313062795294416,0.0013156531397647208,0.008670922663976524,0.0011230769335874569,0.0006484087699273778,0.009947003002460646,0.0014024859555721374,0.0007012429777860687,0.010276173258215471,0.00321669899005292,0.0018571620278090507,0.008324046227339212,0.0016479103592618334,0.0009514214895201925,0.0073585240661008895,0.002454481854489691,0.001417095759410675,0.014396360372404604,0.0011218691167930435,0.0005609345583965218,0.014038860227237805,0.0044958287477757574,0.0022479143738878787
0.4166666666666667,0.009738564194025454,0.0006605045610968054,0.00038134248615021623,0.018852882569031247,0.00656495677826837,0.003282478389134185,0.020164292914950647,0.0052335783986402215,0.0023405274129868056,0.018080069539258094,0.004659804467094521,0.0023299022335472605,0.013380931487376582,0.0008599495733096997,0.000496492117639859,0.01520919760640514,0.0015095582327935132,0.0007547791163967566,0.013499521722124382,0.0028536192352472617,0.0016475378336347007,0.012820922045511976,0.0008444399487771278,0.0004875376317409486,0.012842334171230332,0.004893167170118739,0.0028250713828578936,0.01993551258708302,0.002298847320573035,0.0011494236602865174,0.021657541620816675,0.00552045539289651,0.002760227696448255
0.5,0.013351283928689632,0.0010099528853580741,0.0005830965702303234,0.027977412880918096,0.010800398811230103,0.005400199405615052,0.029639652671299737,0.00907335159204442,0.004057726188713453,0.02688292383939154,0.007954003543644401,0.003977001771822201,0.02127706461766749,0.0022513281899600784,0.0012998049365076443,0.02201331232506007,0.004391639435414763,0.0021958197177073817,0.01922808889508053,0.005226669552156611,0.0030176190729028405,0.018654902760466167,0.0021174513742620803,0.001222511120926155,0.018361721346784113,0.00440597480229454,0.002543790738147461,0.027100339269762505,0.0027424347909947152,0.0013712173954973576,0.03340538675052045,0.009834096408202991,0.0049170482041014955
0.5833333333333334,0.01805865741353974,0.002262305664458269,0.0013061427843641968,0.03765981142209771,0.015053313347469392,0.007526656673734696,0.04085433587061654,0.015507579980301127,0.006935200600493634,0.03668144198542838,0.00956099718746187,0.004780498593730935,0.030336040883124304,0.003144603645264744,0.0018155377610882787,0.030460395920950123,0.00651121996589649,0.003255609982948245,0.024070523480615627,0.005478788391826562,0.0031631799528540625,0.025440899526590188,0.0025312629120475016,0.001461425323660341,0.024133112771176968,0.008875784560698256,0.0051244366053882625,0.037437454731945596,0.0057894437742411,0.00289472188712055,0.0422675361680278,0.010167843221269493,0.005083921610634747
0.6666666666666666,0.022176373897838293,0.00259632052299425,0.0014989863528532803,0.05129768841809452,0.02072567910970067,0.010362839554850335,0.05181997957696295,0.012132660636535831,0.005425890786245997,0.04691726162209773,0.01119524600239489,0.005597623001197445,0.03959925588620234,0.005118076641276411,0.002954922926574072,0.039018657861916245,0.009966367456204274,0.004983183728102137,0.03089605032498891,0.008137583296553997,0.004698235906818453,0.0351949463345966,0.0027784881404588156,0.00160416087583408,0.03472717374198028,0.010129505419220784,0.005848272680544893,0.046032776121270394,0.008112647728825303,0.004056323864412651,0.05732849598099819,0.014407592826764657,0.0072037964133823285
0.75,0.028320006892411737,0.0027308199010486474,0.0015766396049788239,0.06294176709239398,0.026326802114428168,0.013163401057214084,0.06649156811917808,0.01566095693514351,0.007003792859935531,0.060162308465492455,0.012533555516240386,0.006266777758120193,0.050203199376567975,0.007583621690484256,0.004378406024433371,0.050544146301467904,0.015728878759531478,0.007864439379765739,0.038103701259105095,0.008223594424814767,0.004747894454873112,0.044909463064353755,0.0023144796112905017,0.0013362654266124716,0.044784284483231074,0.013198075584309358,0.0076199124913860355,0.05745449810541773,0.008151999975396495,0.004075999987698247,0.07223380611086208,0.019248361682895197,0.009624180841447599
