Avg Time (hr),<VVOE + GntR_Ecoli + Gluconate>,<VVOE + GntR_Ecoli - gluconate>,<VVOE - GntR_Ecoli - gluconate>,SD1,SD2,SD3,GntR1,GntR2,GntR3,SD_1,SD_2,SD_3
0,0,0,0,0,0,0,0,0,0,0,0,0
2,7.72663046,0.445222848,14.76057054,1.24573109,0.145928706,3.171859947,410.625849,872.83133,0.006409935,105.07824,56.92441808,0.002504321
4,5.20640897,4.336023047,20.59028522,4.51473642,2.306813514,4.14835803,410.1499,797.0452226,0.004553399,213.060369,413.7573532,0.000372599
6,11.2258151,11.46088123,43.658591,2.41580176,1.180224809,7.95105851,530.189641,1250.160048,0.029205732,24.5849264,289.3147058,0.010575567
12,0.2812512,0.185761636,6.119226688,0.09982238,0.025964822,3.002469389,22.3733821,22.14657325,0.034830445,9.58295582,4.119407971,0.00095992
